"sample_no","author","year","n","pj_pj","pj_si","si_si","pj_le","si_le","le_le","pjxsi_le","published","place","region","demq_group","demq","demin_group","demin","hdi","si_measure","design","period","mean_age","male_percent","minority_percent"
19,"Dittloff",2003,119,1,0.03,1,NA,NA,1,NA,0,"USA",1,"2","0.81100000000000005","2",7.85,0.921,1,"C",NA,26.6,0.31,1
20,"Factor_a",2014,1216,1,NA,1,0.64,NA,1,NA,1,"Israel",3,"1","0.82099999999999995","2",7.97,0.919,NA,"C",NA,42.03,0.5,0.33
21,"Ferdik_a",2016,623,1,NA,1,0.64,NA,1,NA,1,"USA",1,"2","0.81100000000000005","2",7.85,0.921,NA,"C",NA,20.43,0.54,0.56
22,"Ferdik_b",2014,296,1,NA,1,0.44,NA,1,NA,1,"USA",1,"2","0.81100000000000005","2",7.85,0.921,NA,"C",NA,21.3,0.42,0.83
23,"Fine_aa",2022,1216,1,NA,1,0.43,NA,1,NA,1,"USA",1,"2","0.81100000000000005","2",7.85,0.921,NA,"C",NA,15.29,1,0.85
24,"Fine_b",2020,1000,1,NA,1,0.75,NA,1,NA,1,"USA",1,"2","0.81100000000000005","2",7.85,0.921,NA,"C",NA,45.35,0.49,0.25
25,"Gau_a",2009,1029,1,NA,1,0.32,NA,1,NA,1,"USA",1,"2","0.81100000000000005","2",7.85,0.921,NA,"L","3 years",57.84,0.68,0.06
26,"Gau_b",2012,531,1,NA,1,0.74,NA,1,NA,1,"USA",1,"2","0.81100000000000005","2",7.85,0.921,NA,"C",NA,54.92,0.33,0.36
27,"Gtanot",2020,1228,1,NA,1,0.47,NA,1,NA,1,"USA",1,"2","0.81100000000000005","2",7.85,0.921,NA,"C",NA,15.74,0.49,0.65
28,"Grant",2020,163,1,NA,1,0.322,NA,1,NA,1,"Jamaica",3,"2","0.78700000000000003","2",7.13,0.709,NA,"C",NA,27.56,0.53,NA
29,"Hamm_a",2019,508,1,NA,1,0.15,NA,1,NA,1,"USA",1,"2","0.81100000000000005","2",7.85,0.921,NA,"E",NA,NA,0.55,0.29
30,"Hamm_b",2017,610,1,NA,1,0.61,NA,1,NA,1,"USA",1,"2","0.81100000000000005","2",7.85,0.921,NA,"C",NA,38,NA,0.19
31,"Henry",2019,201,1,NA,1,0.47,NA,1,NA,1,"USA",1,"2","0.81100000000000005","2",7.85,0.921,NA,"C",NA,34.51,0.66,0.3
32,"Hertogh",2015,1182,1,NA,1,0.32,NA,1,NA,1,"Netherlands",2,"1","0.93","1",8.88,0.941,NA,"C",NA,43.1,0.71,NA
33,"Hinds_a",2007,328,1,NA,1,0.36,NA,1,NA,1,"Australia",3,"1","0.90400000000000003","1",8.9,0.951,NA,"C",NA,15.3,0.51,0.26
34,"Hinds_b",2007,2611,1,NA,1,0.51,NA,1,NA,1,"Australia",3,"1","0.90400000000000003","1",8.9,0.951,NA,"C",NA,48.54,0.44,0.1
35,"Huq",2017,1004,1,NA,1,0.6,NA,1,NA,1,"UK",2,"1","0.89200000000000002","1",8.1,0.929,NA,"C",NA,NA,NA,NA
36,"Jackson_a",2014,404,1,NA,1,0.33,NA,1,NA,1,"Pakistan",3,"3","0.375","3",4.31,0.544,NA,"C",NA,NA,0.78,NA
37,"Jackson_b",2021,2507,1,NA,1,0.88,NA,1,NA,1,"Canada",1,"1","0.86","1",8.87,0.936,NA,"C",NA,NA,NA,NA
38,"Jackson_c",2013,1017,1,0.28,1,0.68,0.24,1,NA,1,"UK",2,"1","0.89200000000000002","1",8.1,0.929,1,"C",NA,23,1,1
39,"Jackson_d",2022,928,1,NA,1,0.86,NA,1,NA,1,"Brazil",3,"2","0.59899999999999998","2",6.86,0.754,NA,"L","2 years",NA,NA,NA
40,"Jackson_e",2007,1023,1,0.77,1,NA,NA,1,NA,1,"UK",2,"1","0.89200000000000002","1",8.1,0.929,1,"C",NA,55.46,0.45,NA
41,"Jeleniewski_aa",2014,198,1,NA,1,0.28,NA,1,NA,0,"USA",1,"2","0.81100000000000005","2",7.85,0.921,NA,"L","6 mos",12.21,0.39,0.39
42,"Jeleniewski_ab",2014,392,1,NA,1,0.16,NA,1,NA,0,"USA",1,"2","0.81100000000000005","2",7.85,0.921,NA,"E",NA,12.07,0.48,0.49
43,"Johnson",2014,603,1,NA,1,0.66,NA,1,NA,1,"Trinidad and Tobago",3,"2","0.78400000000000003","2",7.16,0.81,NA,"C",NA,NA,0.5,0.24
44,"Jorgensen",2011,337,1,NA,1,0.77,NA,1,NA,0,"USA",1,"2","0.81100000000000005","2",7.85,0.921,NA,"C",NA,31.52,0.75,0.45
